事件,事件名,代码,类型,状态,T0日期,前20日,T0当日,T+5,T+20,T+60,T+120,最大回撤,回撤窗口完整,日均成交额,超额T+5,超额T+20,超额T+60,超额T+120,超额前20日
E1,沙特 Abqaiq 油田遇袭,CL=F,期货合约,ok,2019-09-16,0.006976266658748287,0.14676396127077207,0.06909755735573109,-0.022971711150141294,0.08003652372783487,-0.4324521417178504,-0.5079816827005138,True,36014446.86749172,0.07408912675050117,-0.010439633314662689,0.03391078534826231,-0.35194794437657817,-0.05077871162395686
E1,沙特 Abqaiq 油田遇袭,BZ=F,期货合约,ok,2019-09-16,0.034174853067333144,0.1461307745596312,0.07555621604336715,-0.014447072881873857,0.06841572623168735,-0.42942544148373607,-0.5021732500503782,True,2231287.543631681,0.08054778543813723,-0.0019149950463952514,0.02228998785211478,-0.34892124414246384,-0.023580125215372005
E1,沙特 Abqaiq 油田遇袭,USO,期货滚动ETF,ok,2019-09-16,0.007929444571694644,0.12150353097094979,0.06730773479083219,-0.02272721020491575,0.08304202777843317,-0.43006991083228174,-0.5053110902913931,True,337254507.0329276,0.07229930418560226,-0.010195132369437143,0.0369162893988606,-0.3495657134910095,-0.049825533711010506
E1,沙特 Abqaiq 油田遇袭,XLE,股票ETF,ok,2019-09-16,0.08528783756662128,0.033562823971990285,0.012780672273583926,-0.04405415482506103,-0.01249745830877258,-0.4168491333421517,-0.4424181353479427,True,878833341.1404673,0.017772241668354005,-0.031522076989582426,-0.05862319668834515,-0.33634493600087945,0.027532859283916133
E1,沙特 Abqaiq 油田遇袭,VLO,股票,ok,2019-09-16,0.11483348901833779,-0.036712245625145745,-0.0162515923039247,0.03507548903185831,0.11562909159979906,-0.30296681310768026,-0.41205858224334124,True,258870742.24164328,-0.011260022909154621,0.047607566867336915,0.0695033532202265,-0.22246261576640802,0.05707851073563264
E1,沙特 Abqaiq 油田遇袭,MPC,股票,ok,2019-09-16,0.18694613724187548,-0.016513263800403744,0.046725561723518494,0.18483770377591657,0.11007284354633073,-0.35367783936741803,-0.49364151843244797,True,312975344.45288974,0.05171713111828857,0.19736978161139518,0.06394710516675817,-0.2731736420261458,0.12919115895917033
E1,沙特 Abqaiq 油田遇袭,STNG,股票,ok,2019-09-16,0.4309319983211941,-0.03288441553793997,-0.12057621369544269,0.12809257534921348,0.13930550945842857,-0.5228567759735772,-0.6172854056177568,True,16121615.503209433,-0.11558464430067261,0.14062465318469208,0.093179771078856,-0.4423525786323049,0.37317702003848896
E1,沙特 Abqaiq 油田遇袭,FRO,股票,ok,2019-09-16,0.4270187922897297,-0.01958630008825757,-0.021762749556668792,0.27421141594405385,0.2612394244128817,-0.17015047682851925,-0.49165388685351474,True,7193165.961411794,-0.016771180161898713,0.28674349377953245,0.21511368603330916,-0.08964627948724702,0.36926381400702457
E1,沙特 Abqaiq 油田遇袭,INSW,股票,ok,2019-09-16,0.19259730961234522,-0.001578175237302637,-0.03366632434290806,0.36138884954133044,0.4592321176413303,0.0489215879395799,-0.40222003227156466,True,2815093.5725593567,-0.02867475494813798,0.37392092737680904,0.41310637926175775,0.12942578528085213,0.13484233132964007
E1,沙特 Abqaiq 油田遇袭,DHT,股票,ok,2019-09-16,0.17609143653712023,-0.024711550637967483,-0.01317949367358262,0.263591500788805,0.25367403831473845,-0.06368490879331179,-0.39562555386654275,True,5744251.057938735,-0.008187924278812542,0.2761235786242836,0.20754829993516588,0.016819288547960443,0.11833645825441508
